name,price,images,Key Ingredients,Size
24-HR Synergy Duo,50.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1210__5_800x1067_78ea57d3-d42a-44a0-b1cf-9a5394b0e15c.jpg?v=1765428396,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1210_2_5_800x1067_eb6e7863-1443-4675-9ed8-8dec79c46f41.jpg?v=1765428396,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1210___800x1067_34548f90-1e9a-4834-be64-25b729180616.jpg?v=1765428396,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/24-hr-synergy-duo-cosrx-official-3.jpg?v=1765428396,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/24-hr-synergy-duo-cosrx-official-5.jpg?v=1765428396,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/24-hr-synergy-duo-cosrx-official-6.jpg?v=1765428396","for first-time retinol users just starting to notice the appearance of fine lines caused by dry skin. • The Hyaluronic Acid 3 Serum 20ml / 0.67 fl. oz Highly concentrated 3% hyaluronic acid serum that hydrates, plumps, soothes and supports the skin's moisture barrier INGREDIENTS Check out the product detail pages : • The Hyaluronic Acid 3 Serum → • The Niacinamide 15 Serum → • The Vitamin C 23 Serum → • The Retinol 0.5 Oil → • The Retinol 0.1 Cream →",
5 Peptide B5 Sensitive Repair Salve Lip Balm,15.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PeptideLipBalm.jpg?v=1785740740,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_01.jpg?v=1787018566,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_02.jpg?v=1787018566,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_03.jpg?v=1787018566,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_04.jpg?v=1787018566,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_05.jpg?v=1787018567,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_06.jpg?v=1787018566,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Balm_07.jpg?v=1787018566",": 5 Peptide Complex + Pantenol (Vitamin B5) 5% + Shea Butter 10% Size: 12g / 0.42 oz. $15.00 Default Title Sold out Shop easier with Thanks for signing up for restock notifications! There was an error signing up for restock notifications. Please try again. NOTIFY WHEN AVAILABLE Notify Me Keep me up to date with news and exclusive offers Share Translation missing: en.general.social.share_on_x Pinterest Pin it Instagram Translation missing: en.general.social.share_on_instagram Translation missing: en.general.social.share_on_tiktok Translation missing: en.general.social.share_on_linkedin DETAILS BENEFITS • Firms and repairs weakened, fragile lips while soothing sensitivity • Creates a rich moisture shield to keep lips soft and hydrated • Unique 2-step salve absorbs deeply, then seals in moisture with a comfortable, protective coating • Vegan, fragrance-free & dye-free formula gentle enough for sensitive lips • Convenient balm format for easy, on-the-go application anytime TARGETS • Dry, Sensitive Lips • Weakened, Fragile Lips Prone to Irritation • Lips in Need of Soothing & Barrier Repair • Those Seeking a Mild, Fragrance-Free Daily Lip Balm • Lips That Need Frequent Reapplication Throughout the Day HOW TO USE Apply to dry, sensitive lips as often as needed throughout the day. *Cautions* 1. If abnormal symptoms or side effects such as redness, swelling, or itching occur on the applied area due to direct sunlight during or after use, consult a dermatologist or specialist. 2. Avoid use on areas with wounds or damaged skin. 3. Storage and handling precautions a) Keep out of reach of children. b) Store away from direct sunlight. INGREDIENTS KEY INGREDIENTS • 5 Peptide Complex: A powerful blend of 5 peptides that works together to firm, smooth, and revitalize lips — targeting volume, elasticity, texture, and hydration for visibly healthier-looking lips. • Panthenol (B5) 5%: A high concentration of this pro-vitamin B5 that soothes and protects sensitive, dry lips, easing irritation and supporting a calmer lip barrier. • Shea Butter 10%: A rich concentration that forms a nourishing moisture seal on the lips, keeping them soft and comfortable for longer.",
5 Peptide Ceramide Barrier Comfort Lip Mask,15.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PeptideLipMask.jpg?v=1785740788,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_01.jpg?v=1787018643,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_02.jpg?v=1787018643,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_03.jpg?v=1787018643,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_04.jpg?v=1787018643,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_05.jpg?v=1787018644,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_06.jpg?v=1787018644,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067_Lip-Mask_07.jpg?v=1787018644",": 5 Peptide Complex + Ceramide Size: 12g / 0.42 oz. $15.00 Default Title Sold out Shop easier with Thanks for signing up for restock notifications! There was an error signing up for restock notifications. Please try again. NOTIFY WHEN AVAILABLE Notify Me Keep me up to date with news and exclusive offers Share Translation missing: en.general.social.share_on_x Pinterest Pin it Instagram Translation missing: en.general.social.share_on_instagram Translation missing: en.general.social.share_on_tiktok Translation missing: en.general.social.share_on_linkedin DETAILS BENEFITS • Smooths and firms dry, rough lips with a 5 Peptide & Ceramide double-care synergy • Forms a nourishing moisture film with Shea Butter, Murumuru Butter & Vitamin E for lasting hydration overnight • Softens flaky texture for a smoother lip surface by morning • Preps lips for smoother, longer-lasting lip makeup application • Convenient tube-type leave-on mask for easy use anytime, day or night TARGETS • Dry, Rough Lips • Flaky, Rough Lip Texture • Visible Lip Wrinkles & Reduced Firmness • Those Whose Lip Makeup Doesn't Apply Evenly Due to Flaky Skin • Lips Needing Intensive Overnight Care HOW TO USE Apply a proper amount evenly onto lips before bed. Leave on overnight and gently wipe away any excess the next morning. *Cautions* 1. If abnormal symptoms or side effects such as redness, swelling, or itching occur on the applied area due to direct sunlight during or after use, consult a dermatologist or specialist. 2. Avoid use on areas with wounds or damaged skin. 3. Storage and handling precautions a) Keep out of reach of children. b) Store away from direct sunlight. INGREDIENTS KEY INGREDIENTS • 5 Peptide Complex: A powerful blend of 5 peptides that works together to firm, smooth, and revitalize lips — targeting volume, elasticity, texture, and hydration for visibly healthier-looking lips. • Ceramide: A key lipid component of the lip's natural barrier that helps lock in moisture and strengthen the lip barrier overnight for enhanced barrier care. • Shea Butter & Murumuru Seed Butter: Forms a nourishing moisture film on the lips, helping to lock in hydration and keep lips feeling soft and supple.",
5 Peptide Collagen Tinted Lip Fill Treatment,16.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_01_Strawberry.jpg?v=1785743776,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_01.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_02.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_03.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_04.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_05.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_06.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/01_Strawberry_07.jpg?v=1787017035,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1_-_Pro-Capture_One_33414.jpg?v=1785205104,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/1.Strawberry_cream_shape.jpg?v=1785139680,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_02_Pearl_sour_jelly.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_01.jpg?v=1787042762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_02.jpg?v=1787042763,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_03.jpg?v=1787042762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_04.jpg?v=1787042763,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_05.jpg?v=1787042762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_06.jpg?v=1787042762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/02_SourBerryJelly_07.jpg?v=1787042762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/2_Pro-Capture_One_33453.jpg?v=1785205118,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/2.Pearl_sour_jelly_cream_shape_bfe8c36a-8004-4114-9af2-18fbdd2a8e17.jpg?v=1785139692,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_03_Peach.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_01.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_02.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_03.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_04.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_05.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_06.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/03Peach_07.jpg?v=1787042771,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/3_Pro-Capture_One_33497.jpg?v=1785205126,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/3.Peach_cream_shape_1cff843c-3f0f-460d-8f09-381efa69fd3f.jpg?v=1785139702,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_04_Cherry.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_01.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_02.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_03.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_04.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_05.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_06.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/04_Cherry_07.jpg?v=1787042778,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/4_Pro-Capture_One_33557.jpg?v=1785205135,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/4.Cherry_cream_shape_66cc5330-bd5e-4e63-a795-c35d3f62e996.jpg?v=1785139714,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_05_Cinamon.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_01.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_02.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_03.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_04.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_05.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_06.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/05_cinnamon_07.jpg?v=1787042782,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Pro-Capture_One_33664.jpg?v=1785205323,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5.Cinnamon_cream_shape_62c633e8-8760-4f44-8fcd-89b2b95a5991.jpg?v=1785139724,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_06_Cocoa.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_01.jpg?v=1787042786,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_02.jpg?v=1787042787,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_03.jpg?v=1787042786,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_04.jpg?v=1787042787,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_05.jpg?v=1787042787,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_06.jpg?v=1787042786,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/06_Cocoa_07.jpg?v=1787042786,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/6_Pro-Capture_One_33578.jpg?v=1785205334,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/6.Cocoa_cream_shape_a78b7a1d-5d1d-4007-b5d3-2f31b6a2c8be.jpg?v=1785139733,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5_Peptide_Lip_Treamtment_07_Black_Cherry.jpg?v=1785743775,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_01.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_02.jpg?v=1787042791,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_03.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_04.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_05.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_06.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/07_BlackCherry_07.jpg?v=1787042792,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/7_Pro-Capture_One_33864.jpg?v=1785205343,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/7.Black_cherry_cream_shape_1e47f473-b085-4674-a5b9-9635264d4433.jpg?v=1785139742",": 5 Peptide Complex + Collagen Size: 12g / 0.42 oz. Color: Strawberry, Sour Berry Jelly, Peach, Cherry, Cinnamon, Cocoa, Black Cherry Color Strawberry Strawberry Sour Berry Jelly Peach Cherry Cinnamon Cocoa Black Cherry $16.00 Choose an option Strawberry Sour Berry Jelly Peach Cherry Cinnamon Cocoa Black Cherry Sold out Shop easier with Thanks for signing up for restock notifications! There was an error signing up for restock notifications. Please try again. NOTIFY WHEN AVAILABLE Notify Me Keep me up to date with news and exclusive offers Share Translation missing: en.general.social.share_on_x Pinterest Pin it Instagram Translation missing: en.general.social.share_on_instagram Translation missing: en.general.social.share_on_tiktok Translation missing: en.general.social.share_on_linkedin DETAILS BENEFITS • Visibly plumps and fills the look of lips with 5 Multi-Peptides and Collagen for a fuller, more defined 4D volume • Targets multiple lip concerns — fine lines, dullness, and dryness — with a Vitamin Duo and hydrating actives • Locks in moisture with Ceramide NP, Hyaluronic Acid & Squalane to keep lips soft and hydrated for lasting comfort • Delivers a sheer, buildable tint with a glossy, high-shine coating finish that layers beautifully over or under lip makeup TARGETS • Lips Lacking Volume & Fullness • Fine Lines & Loss of Lip Definition • Dull, Uneven Lip Tone • Dry, Dehydrated Lips • Rough, Textured Lip Surface • Those Wanting Sheer, Buildable Color with Skincare Benefits HOW TO USE Apply as needed for a touch of hydration and sheer color. Can be used before or after lip makeup. *Cautions* Do not use on damaged or irritated skin. Do not use in case of allergy to any of the ingredients. For external use only. INGREDIENTS KEY INGREDIENTS • 5 Peptide Complex: A powerful blend of 5 peptides that works together to firm, smooth, and revitalize lips — targeting volume, elasticity, texture, and hydration for visibly healthier-looking lips. • Collagen : A key structural protein that makes up lip tissue, helping support the firm, well-defined structure of the skin. • Ceramide : Forms a strong moisture barrier on the lips to prevent water loss. (Barrier Care) • PHA & Phytic Acid : Gently smooths rough, flaky texture for softer, more polished lips.(Exfoliating Care)",
AC Collection Acne Patch,8.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-1.jpg?v=1724835837,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-2.jpg?v=1724835839,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-3.jpg?v=1724835841,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-4.jpg?v=1724835843,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-5.jpg?v=1724835846,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-6.jpg?v=1724835848,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-acne-patch-cosrx-official-7.jpg?v=1724835850,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/800x1067__ac__231120.webp?v=1724835852","• Hydrocolloid : Absorbs discharge, maintains humidity to prevent further breakouts",
AC Collection Blemish Care Sheet Mask,6.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-1.jpg?v=1724836188,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-2.jpg?v=1724836190,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-3.jpg?v=1724836193,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-4.jpg?v=1724836195,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-5.jpg?v=1724836197,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-6.jpg?v=1724836199,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-7.jpg?v=1724836201,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-8.jpg?v=1724836203,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-9.jpg?v=1724836205,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-care-sheet-mask-cosrx-official-10.jpg?v=1724836208","• Tea tree leaf extract 9,000 ppm : Soothes sensitive skin and attracts moisture immediately",
AC Collection Blemish Spot Clearing Serum,27.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-1.jpg?v=1724835853,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-2.jpg?v=1724835856,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-3.jpg?v=1724835857,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-4.jpg?v=1724835860,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-5.jpg?v=1724835862,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-6.jpg?v=1724835864,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-blemish-spot-clearing-serum-cosrx-official-7.jpg?v=1724835866","• CentellAC-Rx Complex : Not only treats acne but also helps revitalize and recover the skin (Madecassic acid, Asiaticoside, and Asiatic acid) • 85% Propolis Extract : Moistures tired skin • 4% Niacinamide : Refines dullness and reduces hyperpigmentation",1.35 fl.oz / 40mL
AC Collection Calming Foam Cleanser,15.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-1.jpg?v=1724835747,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-2.jpg?v=1724835749,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-3.jpg?v=1724835752,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-4.jpg?v=1724835754,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-5.jpg?v=1724835756,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-6.jpg?v=1724835758,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-7.jpg?v=1724835760,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-8.jpg?v=1724835762,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-9.jpg?v=1724835764,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-10.jpg?v=1724835766,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-foam-cleanser-cosrx-official-11.jpg?v=1724835769","• Centella AC-RX : Treating acne & helping revitalize and recover the skin (Include three legendary healing ingredients-Madecassic acid, Asiaticoside and Asiatic acid) • Salicylic Acid  : Dissolving and removing dead skin cells","5.07 fl.oz / 150mL,1.69 fl.oz / 50ml"
AC Collection Calming Liquid Mild,26.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-1.jpg?v=1724836561,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-2.jpg?v=1724836563,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-3.jpg?v=1724836565,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-4.jpg?v=1724836567,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-calming-liquid-mild-cosrx-official-5.jpg?v=1724836569","Green tea water 85.6%, BHA 0.2%, PHA 0.2%, CentellAC-RX (Soothing, sebum, dead skin care)",4.22 fl.oz / 125ml
AC Collection Lightweight Soothing Moisturizer,19.00,"https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-1.jpg?v=1724835868,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-2.jpg?v=1724835870,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-3.jpg?v=1724835873,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-4.jpg?v=1724835874,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-5.jpg?v=1724835876,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-6.jpg?v=1724835878,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-7.jpg?v=1724835880,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-8.jpg?v=1724835882,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-9.jpg?v=1724835884,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-10.jpg?v=1724835886,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/ac-collection-lightweight-soothing-moisturizer-cosrx-official-11.jpg?v=1724835888",,2.70 fl.oz / 80ml
